PersonId,LastName,UsedFirstName,SchoolNameLongEn,FieldOfStudyEn,DiplomaLongEn,GraduationYear
7649,Corbett,Robert Alfred,University of New Brunswick,Unknown,Unknown,
16392,Corbin,Eymard G.,Université du Sacré-Coeur,Unknown,Unknown,
15463,Cordy,Jane,Nova Scotia Teachers's College,Teaching,Certificate,1970.0
15463,Cordy,Jane,Mount Saint Vincent University,Education,Bachelor,1989.0
15007,Corman,Ellis Hopkins,University of Toronto,Science,Bachelor,
7631,Cormier,Maximilien Dominic (Maxime),St. Joseph University,Arts,Bachelor,1901.0
7631,Cormier,Maximilien Dominic (Maxime),St. Joseph University,Arts,Master,1928.0
10080,Cornwall,Clement Francis,Trinity College,Arts,Bachelor,
11609,Cosgrove,Paul James,University of Toronto,Arts,Bachelor,1957.0
11609,Cosgrove,Paul James,Queen's University,Laws,Bachelor,1960.0
5620,Cossitt,Thomas Charles,Leiden University (Holland),Unknown,Post-graduate education,
5620,Cossitt,Thomas Charles,University of Toronto,Arts,Master,
13250,Cotler,Irwin,McGill University,Arts,Bachelor,1961.0
13250,Cotler,Irwin,McGill University,Civil Law,Bachelor,1964.0
13250,Cotler,Irwin,Yale University,Laws,Master,1966.0
13250,Cotler,Irwin,Simon Fraser University,Laws,Licentiate,1991.0
8627,Cotnam,Ira Delbert,Queen's University,Medicine,Doctorate,
1526,Cottreau,Ernest G.,St. Anne's College,Arts,Bachelor,1937.0
17070,Coulombe,Charles Jérémie,Victoria University (Montreal),Medicine,Doctorate,
14779,Cournoyer,Gérard,Montreal University,Arts,Bachelor,
14779,Cournoyer,Gérard,University of Vermont,Unknown,Unknown,
14779,Cournoyer,Gérard,Montreal University,Laws,Bachelor,
11451,Courtemanche,Henri,St. Lawrence College,Arts,Bachelor,1938.0
11451,Courtemanche,Henri,Montreal University,Laws,Bachelor,1947.0
8821,Cousineau,René,University of Ottawa,Unknown,Unknown,
13465,Couture,Clément,Sherbrooke University,Commerce,Unknown,
9364,Cowan,Donald James,University of Toronto,Arts,Bachelor,
9364,Cowan,Donald James,Osgoode Hall Law School,Laws,Degree,
15920,Cowan,George Henry,Osgoode Hall Law School,Laws,Bachelor,
15920,Cowan,George Henry,University of Toronto,Arts,Bachelor,
9670,Cowan,James S.,Dalhousie University,Arts,Bachelor,1962.0
9670,Cowan,James S.,Dalhousie University,Laws,Bachelor,1965.0
9670,Cowan,James S.,London School of Economics and Political Science,Laws,Master,1967.0
9670,Cowan,James S.,Dalhousie University,Laws,Honorary doctorate,2009.0
14558,Cowan,Mahlon K.,Osgoode Hall Law School,Laws,Unknown,
1922,Cowan,Ralph Bronson,University of Toronto,Arts,Bachelor,1924.0
1922,Cowan,Ralph Bronson,University of Missouri,Journalism,Bachelor,1925.0
6629,Cowan,Walter Davy,University of Maryland,Dentistry,Degree,
20003,Coyle,Mary,Université de Besançon,French Language,Diploma,
20003,Coyle,Mary,University of Guelph,Languages and Literature,Bachelor,
20003,Coyle,Mary,University of Guelph,Rural Planning and Development,Master,
7809,Craig,Thomas Dixon,University of Toronto,Arts,Bachelor,1864.0
